#,Category,Name of Card,Value,Full set number,Rent Value,Function,Constraint and Notices,
43,Property,Orange,$2M,3,"1,3,5",Collect 3 to complete the Orange set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
44,Property,Orange,$2M,,,Collect 3 to complete the Orange set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
45,Property,Orange,$2M,,,Collect 3 to complete the Orange set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
46,Property,Red,$3M,3,"2,3,6",Collect 3 to complete the Red set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
47,Property,Red,$3M,,,Collect 3 to complete the Red set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
48,Property,Red,$3M,,,Collect 3 to complete the Red set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
49,Property,Yellow,$3M,3,"2,4,6",Collect 3 to complete the Yellow set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
50,Property,Yellow,$3M,,,Collect 3 to complete the Yellow set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
51,Property,Yellow,$3M,,,Collect 3 to complete the Yellow set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
52,Property,Green,$4M,3,"2,4,7",Collect 3 to complete the Green set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
53,Property,Green,$4M,,,Collect 3 to complete the Green set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
54,Property,Green,$4M,,,Collect 3 to complete the Green set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
55,Property,Dark Blue,$4M,2,"3,8",Collect 2 to complete the Dark Blue set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
56,Property,Dark Blue,$4M,,,Collect 2 to complete the Dark Blue set.,"If used as payment, goes to opponent's property section. Excess cards form a new set.",Put in the property area of that player
57,Property,Railroad,$2M,4,"1,2,3,4",Collect 4 to complete the Railroad set.,Cannot have House/Hotel cards added to it.,Put in the property area of that player
58,Property,Railroad,$2M,,,Collect 4 to complete the Railroad set.,Cannot have House/Hotel cards added to it.,Put in the property area of that player
59,Property,Railroad,$2M,,,Collect 4 to complete the Railroad set.,Cannot have House/Hotel cards added to it.,Put in the property area of that player
60,Property,Railroad,$2M,,,Collect 4 to complete the Railroad set.,Cannot have House/Hotel cards added to it.,Put in the property area of that player
61,Property,Utility,$2M,2,"1,2",Collect 2 to complete the Utility set.,Cannot have House/Hotel cards added to it.,Put in the property area of that player
62,Property,Utility,$2M,,,Collect 2 to complete the Utility set.,Cannot have House/Hotel cards added to it.,Put in the property area of that player
63,Property Wildcard,Purple & Orange,$2M,,,Use as either a Purple or Orange property.,Can be flipped/moved during your turn. Excess cards must create a new set.,Put in the property area of that player
64,Property Wildcard,Purple & Orange,$2M,,,Use as either a Purple or Orange property.,Can be flipped/moved during your turn. Excess cards must create a new set.,Put in the property area of that player
65,Property Wildcard,Light Blue & Brown,$1M,,,Use as either a Light Blue or Brown property.,Can be flipped/moved during your turn. Excess cards must create a new set.,Put in the property area of that player
66,Property Wildcard,Light Blue & Railroad,$4M,,,Use as either a Light Blue or Railroad property.,Can be flipped/moved during your turn. Excess cards must create a new set.,Put in the property area of that player
67,Property Wildcard,Dark Blue & Green,$4M,,,Use as either a Dark Blue or Green property.,Can be flipped/moved during your turn. Excess cards must create a new set.,Put in the property area of that player
68,Property Wildcard,Railroad & Green,$4M,,,Use as either a Railroad or Green property.,Can be flipped/moved during your turn. Excess cards must create a new set.,Put in the property area of that player
69,Property Wildcard,Red & Yellow,$3M,,,Use as either a Red or Yellow property.,Can be flipped/moved during your turn. Excess cards must create a new set.,Put in the property area of that player
70,Property Wildcard,Red & Yellow,$3M,,,Use as either a Red or Yellow property.,Can be flipped/moved during your turn. Excess cards must create a new set.,Put in the property area of that player
71,Property Wildcard,Utility & Railroad,$2M,,,Use as either a Utility or Railroad property.,Can be flipped/moved during your turn. Excess cards must create a new set.,Put in the property area of that player
72,Property Wildcard,10-Color Multi-Color,0,,,Can be used as any property color in the game.,Cannot pay debts with this (no value). Must be played with another property to charge rent.,Put in the property area of that player
73,Property Wildcard,10-Color Multi-Color,0,,,Can be used as any property color in the game.,Cannot pay debts with this (no value). Must be played with another property to charge rent.,Put in the property area of that player
74,Rent,Purple & Orange,$1M,,,Charge rent to all players for your Purple or Orange properties.,Charges ALL players. Can only pick one color to charge. Must have that property on table.,Discarded to center pile after use.
75,Rent,Purple & Orange,$1M,,,Charge rent to all players for your Purple or Orange properties.,Charges ALL players. Can only pick one color to charge. Must have that property on table.,Discarded to center pile after use.
76,Rent,Railroad & Utility,$1M,,,Charge rent to all players for your Railroad or Utility properties.,Charges ALL players. Can only pick one color to charge. Must have that property on table.,Discarded to center pile after use.
77,Rent,Railroad & Utility,$1M,,,Charge rent to all players for your Railroad or Utility properties.,Charges ALL players. Can only pick one color to charge. Must have that property on table.,Discarded to center pile after use.
78,Rent,Green & Dark Blue,$1M,,,Charge rent to all players for your Green or Dark Blue properties.,Charges ALL players. Can only pick one color to charge. Must have that property on table.,Discarded to center pile after use.
79,Rent,Green & Dark Blue,$1M,,,Charge rent to all players for your Green or Dark Blue properties.,Charges ALL players. Can only pick one color to charge. Must have that property on table.,Discarded to center pile after use.
80,Rent,Brown & Light Blue,$1M,,,Charge rent to all players for your Brown or Light Blue properties.,Charges ALL players. Can only pick one color to charge. Must have that property on table.,Discarded to center pile after use.
81,Rent,Brown & Light Blue,$1M,,,Charge rent to all players for your Brown or Light Blue properties.,Charges ALL players. Can only pick one color to charge. Must have that property on table.,Discarded to center pile after use.
82,Rent,Red & Yellow,$1M,,,Charge rent to all players for your Red or Yellow properties.,Charges ALL players. Can only pick one color to charge. Must have that property on table.,Discarded to center pile after use.
83,Rent,Red & Yellow,$1M,,,Charge rent to all players for your Red or Yellow properties.,Charges ALL players. Can only pick one color to charge. Must have that property on table.,Discarded to center pile after use.
84,Rent,10-Color Wild Rent,$3M,,,Charge rent to one specific player for any property color you own.,Charges ONE specific player. Must have the chosen property on the table.,Discarded to center pile after use.
85,Rent,10-Color Wild Rent,$3M,,,Charge rent to one specific player for any property color you own.,Charges ONE specific player. Must have the chosen property on the table.,Discarded to center pile after use.
86,Rent,10-Color Wild Rent,$3M,,,Charge rent to one specific player for any property color you own.,Charges ONE specific player. Must have the chosen property on the table.,Discarded to center pile after use.
87,Money,$10M,$10M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
88,Money,$5M,$5M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
89,Money,$5M,$5M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
90,Money,$4M,$4M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
91,Money,$4M,$4M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
92,Money,$4M,$4M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
93,Money,$3M,$3M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
94,Money,$3M,$3M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
95,Money,$3M,$3M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
96,Money,$2M,$2M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
97,Money,$2M,$2M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
98,Money,$2M,$2M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
99,Money,$2M,$2M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
100,Money,$2M,$2M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
101,Money,$1M,$1M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
102,Money,$1M,$1M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
103,Money,$1M,$1M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
104,Money,$1M,$1M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
105,Money,$1M,$1M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.,
106,Money,$1M,$1M,,,Bank in your money pile to pay off future debts.,Cannot pay from your hand. No change is given if you overpay a debt.
